year,species,species_latin,how_many_counted,total_hours
2019,"Crowned Woodnymph (Violet-crowned Woodnymph)",Thalurania colombica (Violet-crowned Woodnymph),1,62
2010,"Stripe-tailed Hummingbird",Eupherusa eximia,2,53
2011,"Stripe-tailed Hummingbird",Eupherusa eximia,NA,52
2012,"Stripe-tailed Hummingbird",Eupherusa eximia,4,69.5
2013,"Stripe-tailed Hummingbird",Eupherusa eximia,1,45
2014,"Stripe-tailed Hummingbird",Eupherusa eximia,NA,66.5
2015,"Stripe-tailed Hummingbird",Eupherusa eximia,1,80.5
2016,"Stripe-tailed Hummingbird",Eupherusa eximia,NA,61.35
2017,"Stripe-tailed Hummingbird",Eupherusa eximia,NA,87
2018,"Stripe-tailed Hummingbird",Eupherusa eximia,2,89.5
2019,"Stripe-tailed Hummingbird",Eupherusa eximia,5,62
2010,"Coppery-headed Emerald",Elvira cupreiceps,NA,53
2011,"Coppery-headed Emerald",Elvira cupreiceps,NA,52
2012,"Coppery-headed Emerald",Elvira cupreiceps,NA,69.5
2013,"Coppery-headed Emerald",Elvira cupreiceps,NA,45
2014,"Coppery-headed Emerald",Elvira cupreiceps,NA,66.5
2015,"Coppery-headed Emerald",Elvira cupreiceps,NA,80.5
2016,"Coppery-headed Emerald",Elvira cupreiceps,2,61.35
2017,"Coppery-headed Emerald",Elvira cupreiceps,2,87
2018,"Coppery-headed Emerald",Elvira cupreiceps,NA,89.5
2019,"Coppery-headed Emerald",Elvira cupreiceps,1,62
2010,"Blue-chested Hummingbird",Amazilia amabilis,NA,53
2011,"Blue-chested Hummingbird",Amazilia amabilis,NA,52
2012,"Blue-chested Hummingbird",Amazilia amabilis,NA,69.5
2013,"Blue-chested Hummingbird",Amazilia amabilis,NA,45
2014,"Blue-chested Hummingbird",Amazilia amabilis,1,66.5
2015,"Blue-chested Hummingbird",Amazilia amabilis,NA,80.5
2016,"Blue-chested Hummingbird",Amazilia amabilis,NA,61.35
2017,"Blue-chested Hummingbird",Amazilia amabilis,NA,87
2018,"Blue-chested Hummingbird",Amazilia amabilis,NA,89.5
2019,"Blue-chested Hummingbird",Amazilia amabilis,NA,62
2010,"Steely-vented Hummingbird",Amazilia saucerottei,NA,53
2011,"Steely-vented Hummingbird",Amazilia saucerottei,NA,52
2012,"Steely-vented Hummingbird",Amazilia saucerottei,1,69.5
2013,"Steely-vented Hummingbird",Amazilia saucerottei,NA,45
2014,"Steely-vented Hummingbird",Amazilia saucerottei,NA,66.5
2015,"Steely-vented Hummingbird",Amazilia saucerottei,1,80.5
2016,"Steely-vented Hummingbird",Amazilia saucerottei,NA,61.35
2017,"Steely-vented Hummingbird",Amazilia saucerottei,NA,87
2018,"Steely-vented Hummingbird",Amazilia saucerottei,1,89.5
2019,"Steely-vented Hummingbird",Amazilia saucerottei,1,62
2010,"Rufous-tailed Hummingbird",Amazilia tzacatl,6,53
2011,"Rufous-tailed Hummingbird",Amazilia tzacatl,7,52
2012,"Rufous-tailed Hummingbird",Amazilia tzacatl,4,69.5
2013,"Rufous-tailed Hummingbird",Amazilia tzacatl,1,45
2014,"Rufous-tailed Hummingbird",Amazilia tzacatl,19,66.5
2015,"Rufous-tailed Hummingbird",Amazilia tzacatl,19,80.5
2016,"Rufous-tailed Hummingbird",Amazilia tzacatl,5,61.35
2017,"Rufous-tailed Hummingbird",Amazilia tzacatl,19,87
2018,"Rufous-tailed Hummingbird",Amazilia tzacatl,16,89.5
2019,"Rufous-tailed Hummingbird",Amazilia tzacatl,5,62
2010,"Cinnamon Hummingbird",Amazilia rutila,NA,53
2011,"Cinnamon Hummingbird",Amazilia rutila,NA,52
2012,"Cinnamon Hummingbird",Amazilia rutila,1,69.5
2013,"Cinnamon Hummingbird",Amazilia rutila,NA,45
2014,"Cinnamon Hummingbird",Amazilia rutila,NA,66.5
2015,"Cinnamon Hummingbird",Amazilia rutila,4,80.5
2016,"Cinnamon Hummingbird",Amazilia rutila,NA,61.35
2017,"Cinnamon Hummingbird",Amazilia rutila,NA,87
2018,"Cinnamon Hummingbird",Amazilia rutila,2,89.5
2019,"Cinnamon Hummingbird",Amazilia rutila,NA,62
2010,"Blue-throated Goldentail",Hylocharis eliciae,NA,53
2011,"Blue-throated Goldentail",Hylocharis eliciae,NA,52
2012,"Blue-throated Goldentail",Hylocharis eliciae,5,69.5
2013,"Blue-throated Goldentail",Hylocharis eliciae,7,45
2014,"Blue-throated Goldentail",Hylocharis eliciae,6,66.5
2015,"Blue-throated Goldentail",Hylocharis eliciae,NA,80.5
2016,"Blue-throated Goldentail",Hylocharis eliciae,NA,61.35
2017,"Blue-throated Goldentail",Hylocharis eliciae,1,87
2018,"Blue-throated Goldentail",Hylocharis eliciae,NA,89.5
2019,"Blue-throated Goldentail",Hylocharis eliciae,1,62
2010,"Slaty-tailed Trogon",Trogon massena,2,53
2011,"Slaty-tailed Trogon",Trogon massena,NA,52
2012,"Slaty-tailed Trogon",Trogon massena,NA,69.5
2013,"Slaty-tailed Trogon",Trogon massena,NA,45
2014,"Slaty-tailed Trogon",Trogon massena,1,66.5
2015,"Slaty-tailed Trogon",Trogon massena,1,80.5
2016,"Slaty-tailed Trogon",Trogon massena,1,61.35
2017,"Slaty-tailed Trogon",Trogon massena,1,87
2018,"Slaty-tailed Trogon",Trogon massena,3,89.5
2019,"Slaty-tailed Trogon",Trogon massena,2,62
2010,"Black-headed Trogon",Trogon melanocephalus,NA,53
2011,"Black-headed Trogon",Trogon melanocephalus,NA,52
2012,"Black-headed Trogon",Trogon melanocephalus,1,69.5
2013,"Black-headed Trogon",Trogon melanocephalus,NA,45
2014,"Black-headed Trogon",Trogon melanocephalus,2,66.5
2015,"Black-headed Trogon",Trogon melanocephalus,1,80.5
2016,"Black-headed Trogon",Trogon melanocephalus,1,61.35
2017,"Black-headed Trogon",Trogon melanocephalus,2,87
2018,"Black-headed Trogon",Trogon melanocephalus,NA,89.5
2019,"Black-headed Trogon",Trogon melanocephalus,NA,62
2010,"Gartered Trogon",Trogon caligatus,NA,53
2011,"Gartered Trogon",Trogon caligatus,NA,52
2012,"Gartered Trogon",Trogon caligatus,1,69.5
2013,"Gartered Trogon",Trogon caligatus,1,45
2014,"Gartered Trogon",Trogon caligatus,2,66.5
2015,"Gartered Trogon",Trogon caligatus,3,80.5
2016,"Gartered Trogon",Trogon caligatus,1,61.35
2017,"Gartered Trogon",Trogon caligatus,5,87
2018,"Gartered Trogon",Trogon caligatus,4,89.5
2019,"Gartered Trogon",Trogon caligatus,4,62
2010,"Black-throated Trogon",Trogon rufus,NA,53
2011,"Black-throated Trogon",Trogon rufus,NA,52
2012,"Black-throated Trogon",Trogon rufus,NA,69.5
2013,"Black-throated Trogon",Trogon rufus,6,45
2014,"Black-throated Trogon",Trogon rufus,1,66.5
2015,"Black-throated Trogon",Trogon rufus,NA,80.5
2016,"Black-throated Trogon",Trogon rufus,1,61.35
2017,"Black-throated Trogon",Trogon rufus,1,87
2018,"Black-throated Trogon",Trogon rufus,NA,89.5
2019,"Black-throated Trogon",Trogon rufus,7,62
2010,"Orange-bellied Trogon",Trogon aurantiiventris,2,53
2011,"Orange-bellied Trogon",Trogon aurantiiventris,1,52
2012,"Orange-bellied Trogon",Trogon aurantiiventris,2,69.5
2013,"Orange-bellied Trogon",Trogon aurantiiventris,NA,45
2014,"Orange-bellied Trogon",Trogon aurantiiventris,2,66.5
2015,"Orange-bellied Trogon",Trogon aurantiiventris,2,80.5
2016,"Orange-bellied Trogon",Trogon aurantiiventris,1,61.35
2017,"Orange-bellied Trogon",Trogon aurantiiventris,1,87
2018,"Orange-bellied Trogon",Trogon aurantiiventris,4,89.5
2019,"Orange-bellied Trogon",Trogon aurantiiventris,1,62
2010,"Tody Motmot",Hylomanes momotula,NA,53
2011,"Tody Motmot",Hylomanes momotula,NA,52
2012,"Tody Motmot",Hylomanes momotula,NA,69.5
2013,"Tody Motmot",Hylomanes momotula,NA,45
2014,"Tody Motmot",Hylomanes momotula,NA,66.5
2015,"Tody Motmot",Hylomanes momotula,NA,80.5
2016,"Tody Motmot",Hylomanes momotula,1,61.35
2017,"Tody Motmot",Hylomanes momotula,NA,87
2018,"Tody Motmot",Hylomanes momotula,NA,89.5
2019,"Tody Motmot",Hylomanes momotula,NA,62
2010,"Blue-crowned Motmot",Momotus coeruliceps,NA,53
2011,"Blue-crowned Motmot",Momotus coeruliceps,NA,52
2012,"Blue-crowned Motmot",Momotus coeruliceps,NA,69.5
2013,"Blue-crowned Motmot",Momotus coeruliceps,NA,45
2014,"Blue-crowned Motmot",Momotus coeruliceps,NA,66.5
2015,"Blue-crowned Motmot",Momotus coeruliceps,2,80.5
2016,"Blue-crowned Motmot",Momotus coeruliceps,1,61.35
2017,"Blue-crowned Motmot",Momotus coeruliceps,NA,87
2018,"Blue-crowned Motmot",Momotus coeruliceps,NA,89.5
2019,"Blue-crowned Motmot",Momotus coeruliceps,NA,62
2010,"Blue-crowned Motmot (Lesson's)",Momotus coeruliceps [lessonii Group,NA,53
2011,"Blue-crowned Motmot (Lesson's)",Momotus coeruliceps [lessonii Group,NA,52
2012,"Blue-crowned Motmot (Lesson's)",Momotus coeruliceps [lessonii Group,NA,69.5
2013,"Blue-crowned Motmot (Lesson's)",Momotus coeruliceps [lessonii Group,NA,45
2014,"Blue-crowned Motmot (Lesson's)",Momotus coeruliceps [lessonii Group,NA,66.5
2015,"Blue-crowned Motmot (Lesson's)",Momotus coeruliceps [lessonii Group,NA,80.5
2016,"Blue-crowned Motmot (Lesson's)",Momotus coeruliceps [lessonii Group,NA,61.35
2017,"Blue-crowned Motmot (Lesson's)",Momotus coeruliceps [lessonii Group,4,87
2018,"Blue-crowned Motmot (Lesson's)",Momotus coeruliceps [lessonii Group,2,89.5
2019,"Blue-crowned Motmot (Lesson's)",Momotus coeruliceps [lessonii Group,1,62
2010,"Amazonian Motmot",Momotus momota,2,53
2011,"Amazonian Motmot",Momotus momota,1,52
2012,"Amazonian Motmot",Momotus momota,1,69.5
2013,"Amazonian Motmot",Momotus momota,NA,45
2014,"Amazonian Motmot",Momotus momota,NA,66.5
2015,"Amazonian Motmot",Momotus momota,NA,80.5
2016,"Amazonian Motmot",Momotus momota,NA,61.35
2017,"Amazonian Motmot",Momotus momota,NA,87
2018,"Amazonian Motmot",Momotus momota,NA,89.5
2019,"Amazonian Motmot",Momotus momota,NA,62
2010,"Rufous Motmot",Baryphthengus martii,1,53
2011,"Rufous Motmot",Baryphthengus martii,1,52
2012,"Rufous Motmot",Baryphthengus martii,NA,69.5
2013,"Rufous Motmot",Baryphthengus martii,NA,45
2014,"Rufous Motmot",Baryphthengus martii,NA,66.5
2015,"Rufous Motmot",Baryphthengus martii,NA,80.5
2016,"Rufous Motmot",Baryphthengus martii,NA,61.35
2017,"Rufous Motmot",Baryphthengus martii,NA,87
2018,"Rufous Motmot",Baryphthengus martii,NA,89.5
2019,"Rufous Motmot",Baryphthengus martii,NA,62
2010,"Keel-billed Motmot",Electron carinatum,NA,53
2011,"Keel-billed Motmot",Electron carinatum,NA,52
2012,"Keel-billed Motmot",Electron carinatum,NA,69.5
2013,"Keel-billed Motmot",Electron carinatum,NA,45
2014,"Keel-billed Motmot",Electron carinatum,NA,66.5
2015,"Keel-billed Motmot",Electron carinatum,1,80.5
2016,"Keel-billed Motmot",Electron carinatum,NA,61.35
2017,"Keel-billed Motmot",Electron carinatum,1,87
2018,"Keel-billed Motmot",Electron carinatum,3,89.5
2019,"Keel-billed Motmot",Electron carinatum,2,62
2010,"Broad-billed Motmot",Electron platyrhynchum,NA,53
2011,"Broad-billed Motmot",Electron platyrhynchum,NA,52
2012,"Broad-billed Motmot",Electron platyrhynchum,NA,69.5
2013,"Broad-billed Motmot",Electron platyrhynchum,NA,45
2014,"Broad-billed Motmot",Electron platyrhynchum,NA,66.5
2015,"Broad-billed Motmot",Electron platyrhynchum,1,80.5
2016,"Broad-billed Motmot",Electron platyrhynchum,2,61.35
2017,"Broad-billed Motmot",Electron platyrhynchum,NA,87
2018,"Broad-billed Motmot",Electron platyrhynchum,NA,89.5
2019,"Broad-billed Motmot",Electron platyrhynchum,1,62
2010,"Ringed Kingfisher",Megaceryle torquata,1,53
2011,"Ringed Kingfisher",Megaceryle torquata,1,52
2012,"Ringed Kingfisher",Megaceryle torquata,NA,69.5
2013,"Ringed Kingfisher",Megaceryle torquata,NA,45
2014,"Ringed Kingfisher",Megaceryle torquata,2,66.5
2015,"Ringed Kingfisher",Megaceryle torquata,2,80.5
2016,"Ringed Kingfisher",Megaceryle torquata,1,61.35
2017,"Ringed Kingfisher",Megaceryle torquata,NA,87
2018,"Ringed Kingfisher",Megaceryle torquata,3,89.5
2019,"Ringed Kingfisher",Megaceryle torquata,1,62
2010,"Belted Kingfisher",Megaceryle alcyon,NA,53
2011,"Belted Kingfisher",Megaceryle alcyon,NA,52
2012,"Belted Kingfisher",Megaceryle alcyon,NA,69.5
2013,"Belted Kingfisher",Megaceryle alcyon,NA,45
2014,"Belted Kingfisher",Megaceryle alcyon,NA,66.5
2015,"Belted Kingfisher",Megaceryle alcyon,NA,80.5
2016,"Belted Kingfisher",Megaceryle alcyon,NA,61.35
2017,"Belted Kingfisher",Megaceryle alcyon,NA,87
2018,"Belted Kingfisher",Megaceryle alcyon,1,89.5
2019,"Belted Kingfisher",Megaceryle alcyon,NA,62
2010,"Amazon Kingfisher",Chloroceryle amazona,NA,53
2011,"Amazon Kingfisher",Chloroceryle amazona,NA,52
2012,"Amazon Kingfisher",Chloroceryle amazona,NA,69.5
2013,"Amazon Kingfisher",Chloroceryle amazona,NA,45
2014,"Amazon Kingfisher",Chloroceryle amazona,NA,66.5
2015,"Amazon Kingfisher",Chloroceryle amazona,NA,80.5
2016,"Amazon Kingfisher",Chloroceryle amazona,NA,61.35
2017,"Amazon Kingfisher",Chloroceryle amazona,NA,87
2018,"Amazon Kingfisher",Chloroceryle amazona,1,89.5
2019,"Amazon Kingfisher",Chloroceryle amazona,NA,62
2010,"Green Kingfisher",Chloroceryle americana,NA,53
2011,"Green Kingfisher",Chloroceryle americana,1,52
2012,"Green Kingfisher",Chloroceryle americana,NA,69.5
2013,"Green Kingfisher",Chloroceryle americana,1,45
2014,"Green Kingfisher",Chloroceryle americana,1,66.5
2015,"Green Kingfisher",Chloroceryle americana,1,80.5
2016,"Green Kingfisher",Chloroceryle americana,NA,61.35
2017,"Green Kingfisher",Chloroceryle americana,NA,87
2018,"Green Kingfisher",Chloroceryle americana,NA,89.5
2019,"Green Kingfisher",Chloroceryle americana,1,62
2010,"Pied Puffbird",Notharchus tectus,NA,53
2011,"Pied Puffbird",Notharchus tectus,NA,52
2012,"Pied Puffbird",Notharchus tectus,NA,69.5
2013,"Pied Puffbird",Notharchus tectus,NA,45
2014,"Pied Puffbird",Notharchus tectus,NA,66.5
2015,"Pied Puffbird",Notharchus tectus,NA,80.5
2016,"Pied Puffbird",Notharchus tectus,NA,61.35
2017,"Pied Puffbird",Notharchus tectus,NA,87
2018,"Pied Puffbird",Notharchus tectus,NA,89.5
2019,"Pied Puffbird",Notharchus tectus,2,62
2010,"White-whiskered Puffbird",Malacoptila panamensis,NA,53
2011,"White-whiskered Puffbird",Malacoptila panamensis,NA,52
2012,"White-whiskered Puffbird",Malacoptila panamensis,NA,69.5
2013,"White-whiskered Puffbird",Malacoptila panamensis,NA,45
2014,"White-whiskered Puffbird",Malacoptila panamensis,NA,66.5
2015,"White-whiskered Puffbird",Malacoptila panamensis,NA,80.5
2016,"White-whiskered Puffbird",Malacoptila panamensis,2,61.35
2017,"White-whiskered Puffbird",Malacoptila panamensis,1,87
2018,"White-whiskered Puffbird",Malacoptila panamensis,NA,89.5
2019,"White-whiskered Puffbird",Malacoptila panamensis,2,62
2010,"White-fronted Nunbird (Costa Rican)",Monasa morphoeus grandior/fidelis,NA,53
2011,"White-fronted Nunbird (Costa Rican)",Monasa morphoeus grandior/fidelis,NA,52
2012,"White-fronted Nunbird (Costa Rican)",Monasa morphoeus grandior/fidelis,NA,69.5
2013,"White-fronted Nunbird (Costa Rican)",Monasa morphoeus grandior/fidelis,NA,45
2014,"White-fronted Nunbird (Costa Rican)",Monasa morphoeus grandior/fidelis,NA,66.5
2015,"White-fronted Nunbird (Costa Rican)",Monasa morphoeus grandior/fidelis,NA,80.5
2016,"White-fronted Nunbird (Costa Rican)",Monasa morphoeus grandior/fidelis,1,61.35
2017,"White-fronted Nunbird (Costa Rican)",Monasa morphoeus grandior/fidelis,NA,87
2018,"White-fronted Nunbird (Costa Rican)",Monasa morphoeus grandior/fidelis,NA,89.5
2019,"White-fronted Nunbird (Costa Rican)",Monasa morphoeus grandior/fidelis,NA,62
2010,"Rufous-tailed Jacamar",Galbula ruficauda,NA,53
2011,"Rufous-tailed Jacamar",Galbula ruficauda,NA,52
2012,"Rufous-tailed Jacamar",Galbula ruficauda,NA,69.5
2013,"Rufous-tailed Jacamar",Galbula ruficauda,NA,45
2014,"Rufous-tailed Jacamar",Galbula ruficauda,2,66.5
2015,"Rufous-tailed Jacamar",Galbula ruficauda,NA,80.5
2016,"Rufous-tailed Jacamar",Galbula ruficauda,NA,61.35
2017,"Rufous-tailed Jacamar",Galbula ruficauda,NA,87
2018,"Rufous-tailed Jacamar",Galbula ruficauda,2,89.5
2019,"Rufous-tailed Jacamar",Galbula ruficauda,2,62
2010,"Emerald Toucanet",Aulacorhynchus prasinus,NA,53
2011,"Emerald Toucanet",Aulacorhynchus prasinus,NA,52
2012,"Emerald Toucanet",Aulacorhynchus prasinus,3,69.5
2013,"Emerald Toucanet",Aulacorhynchus prasinus,NA,45
2014,"Emerald Toucanet",Aulacorhynchus prasinus,NA,66.5
2015,"Emerald Toucanet",Aulacorhynchus prasinus,NA,80.5
2016,"Emerald Toucanet",Aulacorhynchus prasinus,NA,61.35
2017,"Emerald Toucanet",Aulacorhynchus prasinus,27,87
2018,"Emerald Toucanet",Aulacorhynchus prasinus,1,89.5
2019,"Emerald Toucanet",Aulacorhynchus prasinus,1,62
2010,"Collared Aracari",Pteroglossus torquatus,7,53
2011,"Collared Aracari",Pteroglossus torquatus,9,52
2012,"Collared Aracari",Pteroglossus torquatus,3,69.5
2013,"Collared Aracari",Pteroglossus torquatus,16,45
2014,"Collared Aracari",Pteroglossus torquatus,19,66.5
2015,"Collared Aracari",Pteroglossus torquatus,11,80.5
2016,"Collared Aracari",Pteroglossus torquatus,3,61.35
2017,"Collared Aracari",Pteroglossus torquatus,NA,87
2018,"Collared Aracari",Pteroglossus torquatus,11,89.5
2019,"Collared Aracari",Pteroglossus torquatus,3,62
2010,"Yellow-eared Toucanet",Selenidera spectabilis,3,53
2011,"Yellow-eared Toucanet",Selenidera spectabilis,1,52
2012,"Yellow-eared Toucanet",Selenidera spectabilis,1,69.5
2013,"Yellow-eared Toucanet",Selenidera spectabilis,NA,45
2014,"Yellow-eared Toucanet",Selenidera spectabilis,NA,66.5
2015,"Yellow-eared Toucanet",Selenidera spectabilis,2,80.5
2016,"Yellow-eared Toucanet",Selenidera spectabilis,2,61.35
2017,"Yellow-eared Toucanet",Selenidera spectabilis,2,87
2018,"Yellow-eared Toucanet",Selenidera spectabilis,2,89.5
2019,"Yellow-eared Toucanet",Selenidera spectabilis,NA,62
2010,"Yellow-throated Toucan (Chestnut-mandibled)",Ramphastos ambiguus swainsonii,10,53
2011,"Yellow-throated Toucan (Chestnut-mandibled)",Ramphastos ambiguus swainsonii,7,52
2012,"Yellow-throated Toucan (Chestnut-mandibled)",Ramphastos ambiguus swainsonii,3,69.5
2013,"Yellow-throated Toucan (Chestnut-mandibled)",Ramphastos ambiguus swainsonii,NA,45
2014,"Yellow-throated Toucan (Chestnut-mandibled)",Ramphastos ambiguus swainsonii,NA,66.5
2015,"Yellow-throated Toucan (Chestnut-mandibled)",Ramphastos ambiguus swainsonii,NA,80.5
2016,"Yellow-throated Toucan (Chestnut-mandibled)",Ramphastos ambiguus swainsonii,NA,61.35
2017,"Yellow-throated Toucan (Chestnut-mandibled)",Ramphastos ambiguus swainsonii,NA,87
2018,"Yellow-throated Toucan (Chestnut-mandibled)",Ramphastos ambiguus swainsonii,20,89.5
2019,"Yellow-throated Toucan (Chestnut-mandibled)",Ramphastos ambiguus swainsonii,39,62
2010,"Yellow-throated Toucan (Black-mandibled)",Ramphastos ambiguus ambiguus/abbreviatus,NA,53
2011,"Yellow-throated Toucan (Black-mandibled)",Ramphastos ambiguus ambiguus/abbreviatus,NA,52
2012,"Yellow-throated Toucan (Black-mandibled)",Ramphastos ambiguus ambiguus/abbreviatus,NA,69.5
2013,"Yellow-throated Toucan (Black-mandibled)",Ramphastos ambiguus ambiguus/abbreviatus,5,45
2014,"Yellow-throated Toucan (Black-mandibled)",Ramphastos ambiguus ambiguus/abbreviatus,8,66.5
2015,"Yellow-throated Toucan (Black-mandibled)",Ramphastos ambiguus ambiguus/abbreviatus,18,80.5
2016,"Yellow-throated Toucan (Black-mandibled)",Ramphastos ambiguus ambiguus/abbreviatus,10,61.35
2017,"Yellow-throated Toucan (Black-mandibled)",Ramphastos ambiguus ambiguus/abbreviatus,16,87
2018,"Yellow-throated Toucan (Black-mandibled)",Ramphastos ambiguus ambiguus/abbreviatus,NA,89.5
2019,"Yellow-throated Toucan (Black-mandibled)",Ramphastos ambiguus ambiguus/abbreviatus,NA,62
2010,"Keel-billed Toucan",Ramphastos sulfuratus,45,53
2011,"Keel-billed Toucan",Ramphastos sulfuratus,20,52
2012,"Keel-billed Toucan",Ramphastos sulfuratus,20,69.5
2013,"Keel-billed Toucan",Ramphastos sulfuratus,20,45
2014,"Keel-billed Toucan",Ramphastos sulfuratus,33,66.5
2015,"Keel-billed Toucan",Ramphastos sulfuratus,35,80.5
2016,"Keel-billed Toucan",Ramphastos sulfuratus,19,61.35
2017,"Keel-billed Toucan",Ramphastos sulfuratus,48,87
2018,"Keel-billed Toucan",Ramphastos sulfuratus,26,89.5
2019,"Keel-billed Toucan",Ramphastos sulfuratus,38,62
2010,"Olivaceous Piculet",Picumnus olivaceus,NA,53
2011,"Olivaceous Piculet",Picumnus olivaceus,2,52
2012,"Olivaceous Piculet",Picumnus olivaceus,NA,69.5
2013,"Olivaceous Piculet",Picumnus olivaceus,NA,45
2014,"Olivaceous Piculet",Picumnus olivaceus,2,66.5
2015,"Olivaceous Piculet",Picumnus olivaceus,NA,80.5
2016,"Olivaceous Piculet",Picumnus olivaceus,NA,61.35
2017,"Olivaceous Piculet",Picumnus olivaceus,2,87
2018,"Olivaceous Piculet",Picumnus olivaceus,NA,89.5
2019,"Olivaceous Piculet",Picumnus olivaceus,NA,62
2010,"Black-cheeked Woodpecker",Melanerpes pucherani,1,53
2011,"Black-cheeked Woodpecker",Melanerpes pucherani,1,52
2012,"Black-cheeked Woodpecker",Melanerpes pucherani,2,69.5
2013,"Black-cheeked Woodpecker",Melanerpes pucherani,NA,45
2014,"Black-cheeked Woodpecker",Melanerpes pucherani,9,66.5
2015,"Black-cheeked Woodpecker",Melanerpes pucherani,2,80.5
2016,"Black-cheeked Woodpecker",Melanerpes pucherani,6,61.35
2017,"Black-cheeked Woodpecker",Melanerpes pucherani,8,87
2018,"Black-cheeked Woodpecker",Melanerpes pucherani,7,89.5
2019,"Black-cheeked Woodpecker",Melanerpes pucherani,13,62
2010,"Hoffmann's Woodpecker",Melanerpes hoffmannii,4,53
2011,"Hoffmann's Woodpecker",Melanerpes hoffmannii,6,52
2012,"Hoffmann's Woodpecker",Melanerpes hoffmannii,4,69.5
2013,"Hoffmann's Woodpecker",Melanerpes hoffmannii,1,45
2014,"Hoffmann's Woodpecker",Melanerpes hoffmannii,9,66.5
2015,"Hoffmann's Woodpecker",Melanerpes hoffmannii,11,80.5
2016,"Hoffmann's Woodpecker",Melanerpes hoffmannii,2,61.35
2017,"Hoffmann's Woodpecker",Melanerpes hoffmannii,7,87
2018,"Hoffmann's Woodpecker",Melanerpes hoffmannii,8,89.5
2019,"Hoffmann's Woodpecker",Melanerpes hoffmannii,10,62
2010,"Yellow-bellied Sapsucker",Sphyrapicus varius,NA,53
2011,"Yellow-bellied Sapsucker",Sphyrapicus varius,NA,52
2012,"Yellow-bellied Sapsucker",Sphyrapicus varius,NA,69.5
2013,"Yellow-bellied Sapsucker",Sphyrapicus varius,1,45
2014,"Yellow-bellied Sapsucker",Sphyrapicus varius,1,66.5
2015,"Yellow-bellied Sapsucker",Sphyrapicus varius,NA,80.5
2016,"Yellow-bellied Sapsucker",Sphyrapicus varius,NA,61.35
2017,"Yellow-bellied Sapsucker",Sphyrapicus varius,NA,87
2018,"Yellow-bellied Sapsucker",Sphyrapicus varius,NA,89.5
2019,"Yellow-bellied Sapsucker",Sphyrapicus varius,NA,62
2010,"Smoky-brown Woodpecker",Picoides fumigatus,NA,53
2011,"Smoky-brown Woodpecker",Picoides fumigatus,NA,52
2012,"Smoky-brown Woodpecker",Picoides fumigatus,2,69.5
2013,"Smoky-brown Woodpecker",Picoides fumigatus,NA,45
2014,"Smoky-brown Woodpecker",Picoides fumigatus,1,66.5
2015,"Smoky-brown Woodpecker",Picoides fumigatus,3,80.5
2016,"Smoky-brown Woodpecker",Picoides fumigatus,NA,61.35
2017,"Smoky-brown Woodpecker",Picoides fumigatus,NA,87
2018,"Smoky-brown Woodpecker",Picoides fumigatus,2,89.5
2019,"Smoky-brown Woodpecker",Picoides fumigatus,NA,62
2010,"Rufous-winged Woodpecker",Piculus simplex,NA,53
2011,"Rufous-winged Woodpecker",Piculus simplex,1,52
2012,"Rufous-winged Woodpecker",Piculus simplex,NA,69.5
2013,"Rufous-winged Woodpecker",Piculus simplex,2,45
2014,"Rufous-winged Woodpecker",Piculus simplex,NA,66.5
2015,"Rufous-winged Woodpecker",Piculus simplex,NA,80.5
2016,"Rufous-winged Woodpecker",Piculus simplex,NA,61.35
2017,"Rufous-winged Woodpecker",Piculus simplex,1,87
2018,"Rufous-winged Woodpecker",Piculus simplex,NA,89.5
2019,"Rufous-winged Woodpecker",Piculus simplex,NA,62
2010,"Golden-olive Woodpecker",Colaptes rubiginosus,NA,53
2011,"Golden-olive Woodpecker",Colaptes rubiginosus,NA,52
2012,"Golden-olive Woodpecker",Colaptes rubiginosus,NA,69.5
2013,"Golden-olive Woodpecker",Colaptes rubiginosus,NA,45
2014,"Golden-olive Woodpecker",Colaptes rubiginosus,1,66.5
2015,"Golden-olive Woodpecker",Colaptes rubiginosus,NA,80.5
2016,"Golden-olive Woodpecker",Colaptes rubiginosus,NA,61.35
2017,"Golden-olive Woodpecker",Colaptes rubiginosus,NA,87
2018,"Golden-olive Woodpecker",Colaptes rubiginosus,NA,89.5
2019,"Golden-olive Woodpecker",Colaptes rubiginosus,1,62
2010,"Lineated Woodpecker",Dryocopus lineatus,NA,53
2011,"Lineated Woodpecker",Dryocopus lineatus,NA,52
2012,"Lineated Woodpecker",Dryocopus lineatus,NA,69.5
2013,"Lineated Woodpecker",Dryocopus lineatus,2,45
2014,"Lineated Woodpecker",Dryocopus lineatus,4,66.5
2015,"Lineated Woodpecker",Dryocopus lineatus,7,80.5
2016,"Lineated Woodpecker",Dryocopus lineatus,NA,61.35
2017,"Lineated Woodpecker",Dryocopus lineatus,2,87
2018,"Lineated Woodpecker",Dryocopus lineatus,6,89.5
2019,"Lineated Woodpecker",Dryocopus lineatus,1,62
2010,"Pale-billed Woodpecker",Campephilus guatemalensis,5,53
2011,"Pale-billed Woodpecker",Campephilus guatemalensis,6,52
2012,"Pale-billed Woodpecker",Campephilus guatemalensis,NA,69.5
2013,"Pale-billed Woodpecker",Campephilus guatemalensis,NA,45
2014,"Pale-billed Woodpecker",Campephilus guatemalensis,7,66.5
2015,"Pale-billed Woodpecker",Campephilus guatemalensis,2,80.5
